"","type","airTemperature_K","processTemperature_K","rotationalSpeed_rpm","torque_nm","toolWear_min","target"
"7468","H",300.3,311.6,1463,41.6,102,0
"7469","L",300.3,311.6,1560,37.7,107,0
"7470","L",300.3,311.6,1607,33.5,109,0
"7471","L",300.4,311.6,1332,54.6,111,0
"7472","L",300.3,311.7,1365,53.3,113,0
"7473","M",300.3,311.6,1617,32.5,115,0
"7474","M",300.3,311.6,1304,62.8,118,0
"7475","L",300.3,311.7,1989,22.3,121,0
"7476","H",300.3,311.6,1339,53.4,123,0
"7477","L",300.2,311.5,1492,41.8,128,0
"7478","M",300.1,311.3,1518,40.2,130,0
"7479","L",300.1,311.3,1479,39.5,133,0
"7480","M",300.1,311.3,1523,34.1,135,0
"7481","M",300.2,311.4,1570,35.3,138,0
"7482","H",300.2,311.4,1506,36.1,141,0
"7483","M",300.2,311.6,1510,47.5,146,0
"7484","L",300.2,311.6,1671,28.8,149,0
"7485","M",300.3,311.6,1312,53.4,151,0
"7486","L",300.3,311.6,1595,38.8,154,0
"7487","L",300.3,311.7,1635,31.8,156,0
"7488","L",300.3,311.7,1707,33.6,158,0
"7489","L",300.3,311.7,1545,43.5,160,0
"7490","M",300.2,311.6,1751,28,162,0
"7491","M",300.4,311.8,1707,30,165,0
"7492","L",300.4,311.8,1320,57.9,168,0
"7493","M",300.3,311.7,1319,51.4,170,0
"7494","L",300.2,311.7,1448,54.2,173,0
"7495","L",300.2,311.8,1436,48.2,175,0
"7496","L",300.3,311.9,1609,34,177,0
"7497","L",300.2,311.8,1464,44.5,179,0
"7498","M",300.3,311.8,1483,45.1,181,0
"7499","M",300.2,311.8,1748,28.5,184,0
"7500","L",300.3,311.8,1746,26.3,187,0
"7501","L",300.2,311.8,1410,51.4,189,0
"7502","L",300.2,311.7,1640,30.8,191,0
"7503","H",300.3,311.7,1655,29.9,193,0
"7504","M",300.3,311.7,1646,28.9,198,0
"7505","L",300.4,311.8,1589,42,201,0
"7506","L",300.5,311.9,1546,39.4,203,0
"7507","L",300.5,311.9,1511,41.8,205,0
"7508","L",300.5,311.9,1750,28.3,207,0
"7509","M",300.5,311.9,1730,27.5,209,0
"7510","L",300.6,311.9,1372,60.1,212,1
"7511","L",300.5,311.8,1524,38.9,214,1
"7512","L",300.4,311.8,1601,36.1,0,0
"7513","M",300.5,311.8,1636,34.4,2,0
"7514","L",300.4,311.8,2261,14.9,5,0
"7515","L",300.4,311.8,1636,32.3,7,0
"7516","M",300.4,311.9,1335,58.3,9,0
"7517","M",300.3,311.7,1236,57.5,12,0
"7518","L",300.3,311.7,1445,47.3,15,0
"7519","L",300.2,311.5,1500,40.8,17,0
"7520","L",300.2,311.6,1999,21,19,0
"7521","L",300.2,311.6,1529,35.5,21,0
"7522","M",300.2,311.6,1467,40.7,23,0
"7523","L",300.1,311.5,1334,54,26,0
"7524","M",300.1,311.5,1343,46.2,28,0
"7525","L",300.2,311.5,1639,31.1,31,0
"7526","H",300.1,311.5,1383,49.1,33,0
"7527","L",300.1,311.4,1660,31.4,38,0
"7528","L",300.1,311.3,1470,45.2,40,0
"7529","M",300.1,311.3,1748,26.6,42,0
"7530","L",300.1,311.4,1467,35.7,45,0
"7531","M",300.1,311.4,1617,39.3,47,0
"7532","H",300.1,311.4,1377,56.7,50,0
"7533","M",300,311.3,1629,32.1,55,0
"7534","L",300,311.2,1504,37.9,58,0
"7535","L",300,311.2,1418,47.3,60,0
"7536","L",300,311.2,1629,31.7,62,0
"7537","L",300.1,311.3,2579,12.5,64,1
"7538","L",300.1,311.3,1305,64.7,66,0
"7539","M",300.2,311.4,1450,38.5,68,0
"7540","L",300.2,311.3,1487,36.9,71,0
"7541","M",300.2,311.3,1587,31.2,73,0
"7542","M",300.3,311.5,1528,40.9,76,0
"7543","M",300.4,311.6,1401,49.9,79,0
"7544","L",300.3,311.5,1446,45,82,0
"7545","L",300.2,311.4,1425,44.2,84,0
"7546","L",300.2,311.4,1891,22.6,86,0
"7547","H",300.2,311.5,1454,42.8,88,0
"7548","L",300.1,311.4,1430,40.9,93,0
"7549","L",300.2,311.4,1495,43.6,95,0
"7550","L",300.3,311.4,1544,41.6,97,0
"7551","M",300.3,311.4,1554,34.3,99,0
"7552","M",300.2,311.3,1491,37.3,102,0
"7553","L",300.3,311.3,1525,40.7,105,0
"7554","L",300.3,311.3,1505,39.6,107,0
"7555","M",300.3,311.4,1371,50.2,109,0
"7556","L",300.3,311.3,1332,60.5,112,0
"7557","L",300.3,311.4,1471,37,114,0
"7558","M",300.4,311.5,1750,27.3,116,0
"7559","M",300.3,311.4,1386,48.1,119,0
"7560","M",300.4,311.4,1355,56.2,122,0
"7561","M",300.3,311.3,1377,53.8,125,0
"7562","L",300.3,311.1,1388,49.4,128,0
"7563","M",300.3,311.1,1350,58.7,130,0
"7564","M",300.4,311.2,1831,23.4,133,0
"7565","M",300.3,311.2,1381,65.2,136,1
"7566","M",300.3,311.2,1783,25.6,139,0
"7567","L",300.3,311,1613,34.7,142,0
"7568","M",300.2,311,2370,14.7,144,0
"7569","L",300.2,311,1627,33.7,147,0
"7570","L",300.2,311,1255,71.8,149,1
"7571","H",300.2,311,1777,27.5,151,0
"7572","L",300.3,311.1,1606,30.9,156,0
"7573","L",300.3,311.1,1676,28.6,158,0
"7574","L",300.3,311.1,1605,37.1,160,0
"7575","L",300.4,311.1,1487,37.4,162,0
"7576","L",300.4,311.2,1471,46.5,164,0
"7577","M",300.3,311.1,1477,44.2,166,0
"7578","L",300.4,311.2,1530,32,169,0
"7579","L",300.4,311.2,1673,28.9,171,0
"7580","L",300.4,311.2,1436,56.8,173,0
"7581","L",300.4,311.3,1495,51.2,175,0
"7582","M",300.4,311.2,1366,56.1,177,0
"7583","H",300.4,311.2,1489,45.3,180,0
"7584","L",300.3,311.1,1480,46.6,185,0
"7585","L",300.4,311.2,1472,37.3,187,0
"7586","L",300.4,311.1,1397,50.8,189,0
"7587","L",300.4,311.1,1589,35.5,191,0
"7588","L",300.4,311.1,1405,54.1,193,0
"7589","L",300.4,311.1,2013,20.1,195,0
"7590","L",300.4,311,1802,26,197,0
"7591","M",300.4,311,1433,46.1,199,0
"7592","M",300.5,311.1,1296,61.3,202,1
"7593","M",300.5,311.2,1551,36.6,205,0
"7594","L",300.5,311.2,1270,67.5,208,1
"7595","L",300.6,311.3,1531,38.5,0,0
"7596","H",300.5,311.2,1397,45.2,2,0
"7597","L",300.5,311.1,1547,37.2,7,0
"7598","L",300.5,311,2074,18.9,9,0
"7599","L",300.5,311.1,1491,42.6,11,0
"7600","L",300.5,311,1759,28.3,13,0
"7601","M",300.4,311,1595,35.4,15,0
"7602","L",300.4,311.2,1351,62,18,0
"7603","L",300.4,311.2,1705,28.7,20,0
"7604","L",300.4,311.2,1406,43.6,22,0
"7605","L",300.4,311.3,1639,34.6,24,0
"7606","H",300.4,311.3,2026,20.3,26,0
"7607","M",300.4,311.3,1350,56.5,31,0
"7608","M",300.5,311.3,1468,41.1,34,0
"7609","L",300.5,311.4,1642,27.1,37,0
"7610","L",300.5,311.3,1490,41.8,39,0
"7611","M",300.5,311.3,1507,43.4,41,0
"7612","L",300.5,311.4,1611,32.7,44,0
"7613","M",300.5,311.4,1743,27.6,46,0
"7614","L",300.5,311.3,1475,46.3,49,0
"7615","L",300.5,311.4,1432,47.5,51,0
"7616","L",300.5,311.4,1442,47,53,0
"7617","M",300.6,311.4,1468,40.4,55,0
"7618","L",300.5,311.4,1556,45.3,58,0
"7619","M",300.5,311.4,1312,51.4,60,0
"7620","L",300.6,311.5,1459,47,63,0
"7621","L",300.5,311.5,1651,36.9,65,0
"7622","L",300.5,311.5,1490,38.4,67,0
"7623","M",300.6,311.6,1473,31.5,69,0
"7624","L",300.6,311.7,1734,29.9,72,0
"7625","L",300.6,311.7,1507,45.5,74,0
"7626","L",300.6,311.7,1556,34.9,76,0
"7627","H",300.5,311.6,1351,53.5,78,0
"7628","L",300.5,311.7,1445,44.8,83,0
"7629","L",300.5,311.7,1619,32.7,85,0
"7630","M",300.5,311.7,1269,64,87,0
"7631","L",300.5,311.6,1534,37.7,90,0
"7632","L",300.5,311.6,1444,49.3,92,0
"7633","L",300.5,311.6,1744,26.8,94,0
"7634","L",300.4,311.5,1441,44.6,96,0
"7635","M",300.3,311.3,1506,40.7,98,0
"7636","L",300.3,311.4,1526,38.5,101,0
"7637","L",300.4,311.5,1704,29.7,103,0
"7638","H",300.4,311.4,1445,52.4,105,0
"7639","L",300.5,311.5,1661,35.9,110,0
"7640","L",300.5,311.4,1466,41.8,112,0
"7641","L",300.4,311.3,1608,35.1,114,0
"7642","M",300.4,311.4,1352,57.3,116,0
"7643","M",300.4,311.4,1604,31.7,119,0
"7644","H",300.4,311.4,1427,50.7,122,0
"7645","L",300.4,311.4,1424,44.6,127,0
"7646","L",300.4,311.4,1662,29.3,129,0
"7647","L",300.4,311.4,1936,23.9,131,0
"7648","L",300.4,311.4,1728,31.7,133,0
"7649","L",300.4,311.4,1552,28.8,135,0
"7650","H",300.4,311.5,1662,29,137,0
"7651","L",300.3,311.4,1343,57.7,142,0
"7652","M",300.4,311.5,1476,32.6,144,0
"7653","L",300.3,311.4,1346,51.1,147,0
"7654","L",300.4,311.5,1492,44.6,149,0
"7655","M",300.3,311.5,1540,41.5,151,0
"7656","L",300.4,311.5,1596,32.5,154,0
"7657","L",300.5,311.6,1541,47.8,156,0
"7658","L",300.5,311.6,1661,30,158,0
"7659","M",300.4,311.6,1359,55.4,160,0
"7660","L",300.5,311.6,1528,42.4,163,0
"7661","M",300.5,311.6,1246,52.9,165,0
"7662","L",300.5,311.6,1575,32.5,168,0
"7663","M",300.5,311.6,1658,30.4,170,0
"7664","L",300.5,311.6,1385,54.8,173,0
"7665","H",300.5,311.7,1454,50.3,175,0
"7666","L",300.5,311.6,1497,40.5,180,0
"7667","M",300.6,311.7,1424,50.8,182,0
"7668","L",300.6,311.7,1528,43.9,185,0
"7669","L",300.6,311.8,1539,37,187,0
"7670","L",300.7,311.8,1336,58.4,189,1
"7671","L",300.5,311.6,1525,37.6,191,0
"7672","M",300.5,311.6,1456,51.1,193,0
"7673","M",300.5,311.7,2141,17.2,196,0
"7674","M",300.5,311.6,1476,39.1,199,0
"7675","L",300.5,311.6,1509,47.2,202,0
"7676","L",300.5,311.6,1447,45.4,204,0
"7677","L",300.6,311.7,1448,49.1,206,0
"7678","L",300.6,311.7,1428,52.6,208,0
"7679","M",300.6,311.7,1389,52.1,210,0
"7680","L",300.7,311.7,1635,32.4,213,0
"7681","L",300.7,311.7,1395,43.7,215,0
"7682","L",300.7,311.8,1443,43.7,217,0
"7683","M",300.7,311.7,1412,49.1,219,0
"7684","L",300.7,311.7,1524,43.5,222,0
"7685","M",300.7,311.8,1407,42.4,224,0
"7686","L",300.8,311.7,1397,43.5,227,0
"7687","M",300.7,311.7,1504,36.9,229,0
"7688","M",300.7,311.7,2097,18.9,232,1
"7689","L",300.6,311.7,1553,39.8,0,0
"7690","L",300.6,311.7,1432,39.2,2,0
"7691","M",300.5,311.6,1577,36.5,4,0
"7692","M",300.5,311.5,1370,56.1,7,0
"7693","H",300.5,311.6,1506,36.2,10,0
"7694","L",300.6,311.6,1964,21.4,15,0
"7695","H",300.6,311.7,1500,36.7,17,0
"7696","L",300.6,311.7,1488,47.7,22,0
"7697","H",300.6,311.5,1282,60.2,24,0
"7698","L",300.5,311.4,1400,45.1,29,0
"7699","L",300.6,311.5,1419,38.6,31,0
"7700","M",300.7,311.5,1441,40.6,33,0
"7701","M",300.7,311.6,1348,62.5,36,0
"7702","H",300.8,311.7,1468,38.7,39,0
"7703","M",300.7,311.7,1701,30.8,44,0
"7704","H",300.7,311.7,1864,23.6,47,0
"7705","M",300.6,311.6,1630,31.8,52,0
"7706","L",300.5,311.5,1316,49.7,55,0
"7707","L",300.5,311.5,1708,31.2,57,0
"7708","H",300.5,311.4,1679,27.5,59,0
"7709","L",300.5,311.4,1709,32.3,64,0
"7710","L",300.5,311.4,1445,41.5,66,0
"7711","M",300.5,311.4,1390,51.9,68,0
"7712","L",300.4,311.4,1309,55.5,71,0
"7713","L",300.5,311.5,1499,37.6,73,0
"7714","M",300.5,311.4,2072,18.8,75,0
"7715","L",300.5,311.5,1487,43,78,0
"7716","L",300.5,311.5,1302,49.6,80,0
"7717","M",300.5,311.5,1378,48.2,82,0
"7718","L",300.5,311.6,1365,53,85,0
"7719","H",300.6,311.7,1427,44.6,87,0
"7720","H",300.6,311.7,1535,33.3,92,0
"7721","H",300.5,311.6,1476,41.7,97,0
"7722","L",300.5,311.6,1425,42.4,102,0
"7723","L",300.5,311.7,1409,54.7,104,0
"7724","L",300.5,311.6,1730,30.2,106,0
"7725","M",300.5,311.6,1454,41.4,108,0
"7726","L",300.6,311.7,1744,26.9,111,0
"7727","M",300.8,311.9,1761,29,113,0
"7728","M",300.7,311.9,1657,30.9,116,0
"7729","L",300.7,311.8,1420,47,119,0
"7730","H",300.7,311.9,1329,59.2,121,0
"7731","L",300.6,311.9,1472,44.2,126,0
"7732","L",300.6,312,1566,30.1,128,0
"7733","L",300.6,312,1430,42.7,130,0
"7734","L",300.6,312,1481,40.9,132,0
"7735","L",300.6,312,1670,29.4,134,0
"7736","L",300.6,312,1406,55.1,136,0
"7737","H",300.6,312.1,1354,46.9,138,0
"7738","M",300.5,312,1985,19.3,143,0
"7739","M",300.5,312,1263,60.8,146,0
"7740","L",300.5,311.9,1576,31.1,149,0
"7741","L",300.5,312,1453,45.1,151,0
"7742","L",300.5,312,1478,39,153,0
"7743","M",300.5,311.9,1323,57.9,155,0
"7744","L",300.5,311.9,1710,28.4,158,0
"7745","L",300.4,311.7,1314,59.5,160,0
"7746","L",300.4,311.7,1460,39.6,162,0
"7747","M",300.4,311.7,1508,45.4,164,0
"7748","M",300.5,311.8,1331,55.3,167,0
"7749","L",300.4,311.7,1515,47.4,170,0
"7750","L",300.4,311.6,1674,33,172,0
"7751","L",300.4,311.7,1444,51.2,174,0
"7752","M",300.4,311.7,1398,42.6,176,0
"7753","M",300.4,311.7,1832,24.2,179,0
"7754","M",300.5,311.8,1591,42,182,0
"7755","M",300.4,311.7,1478,39.9,185,0
"7756","M",300.4,311.8,1362,47.6,188,0
"7757","L",300.5,311.8,1368,57.9,191,1
"7758","M",300.3,311.7,1723,28.3,193,0
"7759","L",300.4,311.8,1689,30.8,196,0
"7760","L",300.4,311.8,1272,59.2,198,1
"7761","M",300.4,311.7,1511,33,200,0
"7762","H",300.4,311.6,1715,30.8,203,0
"7763","M",300.3,311.5,1400,43.8,0,0
"7764","L",300.4,311.6,1200,76.6,3,1
"7765","M",300.4,311.7,1555,38.7,5,0
"7766","H",300.3,311.6,1427,56.2,8,0
"7767","L",300.3,311.4,1318,52.7,13,0
"7768","H",300.2,311.4,1319,54.6,15,0
"7769","M",300.2,311.4,1960,20.9,20,0
"7770","L",300.3,311.5,1552,38.9,23,0
"7771","L",300.3,311.5,1548,32.2,25,0
"7772","L",300.3,311.6,1709,29.5,27,0
"7773","H",300.3,311.5,1464,41,29,0
"7774","L",300.3,311.4,1759,24.8,34,0
"7775","L",300.3,311.5,1634,31.9,36,0
"7776","L",300.3,311.5,1663,33.6,38,0
"7777","M",300.3,311.5,1445,47.3,40,0
"7778","L",300.3,311.5,1695,25.6,43,0
"7779","L",300.4,311.6,1517,39,45,0
"7780","L",300.5,311.7,1811,26.8,47,0
"7781","L",300.4,311.6,1815,23.5,49,0
"7782","L",300.4,311.7,1513,40,51,0
"7783","M",300.4,311.6,1518,36.4,53,0
"7784","L",300.3,311.5,1667,28.8,56,0
"7785","L",300.3,311.5,1403,60.1,58,0
"7786","L",300.2,311.5,1383,42.1,60,0
"7787","L",300.3,311.5,1466,46.2,62,0
"7788","L",300.3,311.5,1378,47.5,64,0
"7789","M",300.2,311.5,1547,40.9,66,0
"7790","L",300.2,311.5,1495,38.5,69,0
"7791","L",300.1,311.4,1729,29.3,71,0
"7792","L",300.1,311.4,1418,47.7,73,0
"7793","H",300.1,311.4,1485,40.4,75,0
"7794","L",300.1,311.5,1434,40.8,80,0
"7795","M",300.2,311.6,1415,55.8,82,0
"7796","H",300.1,311.6,1674,29.6,85,0
"7797","L",300.1,311.5,1454,52.4,90,0
"7798","L",300,311.4,1476,39,92,0
"7799","L",300,311.5,1812,28.3,94,0
"7800","L",300,311.4,1374,41.9,96,0
"7801","M",300.1,311.4,1524,40.6,98,0
"7802","L",300,311.4,1383,49.6,101,0
"7803","L",299.9,311.3,1429,58.2,103,0
"7804","M",299.8,311.3,1517,41.2,105,0
"7805","M",299.9,311.4,1480,44.9,108,0
"7806","L",299.9,311.4,1706,28.8,111,0
"7807","L",300,311.5,1349,48.6,113,0
"7808","M",300,311.5,1451,49,115,0
"7809","L",299.9,311.4,1627,36.7,118,0
"7810","M",300,311.4,1537,35.4,120,0
"7811","L",300.1,311.5,2218,17,123,0
"7812","M",300,311.4,1466,39,125,0
"7813","L",300,311.5,1666,32,128,0
"7814","L",300,311.5,1455,41.7,130,0
"7815","L",300,311.4,1927,24.6,132,0
"7816","M",299.9,311.3,1703,28.4,134,0
"7817","L",299.8,311.2,1533,35.9,137,0
"7818","H",299.8,311.3,1785,25.4,139,0
"7819","L",299.8,311.2,2142,16.6,144,0
"7820","L",299.8,311.2,1369,46.2,146,0
"7821","M",299.8,311.2,1706,29.2,148,0
"7822","L",299.9,311.3,1802,24.4,151,0
"7823","H",299.9,311.3,1413,41.8,153,0
"7824","L",300,311.3,1484,53.2,158,0
"7825","L",299.9,311.3,1535,38.1,160,0
"7826","M",299.9,311.2,1579,35.5,162,0
"7827","L",299.8,311.1,1300,64.2,165,0
"7828","M",299.8,311.1,1452,44.3,167,0
"7829","M",299.8,311.1,1562,35.7,170,0
"7830","L",299.8,311.2,1664,28.3,173,0
"7831","H",299.9,311.2,1495,35.8,175,0
"7832","M",300,311.4,1533,42.6,180,0
"7833","L",300,311.4,1484,37,183,0
"7834","L",300,311.4,1604,38.7,185,0
"7835","L",300,311.4,1483,45.6,187,0
"7836","L",300.1,311.5,1549,34.7,189,0
"7837","L",300.1,311.4,1604,35,191,0
"7838","L",300.2,311.5,1685,31,193,0
"7839","L",300.2,311.6,1372,49.2,195,0
"7840","L",300.3,311.6,1374,47.4,197,0
"7841","L",300.2,311.6,1606,31,199,0
"7842","L",300.1,311.5,1471,47.2,201,0
"7843","L",300.1,311.5,1659,31.1,203,0
"7844","M",300.1,311.7,1400,48.5,205,0
"7845","L",300.1,311.7,1503,42.6,208,0
"7846","L",300.2,311.8,1798,23.2,210,0
"7847","M",300.2,311.6,1608,35,212,0
"7848","L",300.2,311.6,1322,50.9,215,0
"7849","H",300.2,311.6,1547,37.7,217,0
"7850","M",300.3,311.7,1374,47.9,222,1
"7851","M",300.3,311.7,1447,36.8,0,0
"7852","L",300.4,311.7,1373,47.2,3,0
"7853","L",300.3,311.7,1515,37.5,5,0
"7854","L",300.3,311.7,1317,56.5,7,0
"7855","L",300.3,311.8,1551,37.2,9,0
"7856","M",300.3,311.8,1592,32.1,11,0
"7857","L",300.4,311.8,1433,42.2,14,0
"7858","L",300.5,311.9,1432,43.1,16,0
"7859","L",300.5,311.9,1350,51.7,18,0
"7860","M",300.5,311.9,1370,44.8,20,0
"7861","L",300.5,312,1415,44.6,23,0
"7862","L",300.5,312,1498,42.9,25,0
"7863","M",300.5,312,1382,54.1,27,0
"7864","M",300.5,311.9,1511,44.5,30,0
"7865","L",300.5,311.9,1330,59.5,33,0
"7866","L",300.5,311.9,1383,50.5,35,0
"7867","L",300.5,311.9,1431,49.4,37,0
"7868","L",300.5,312,1461,38.1,39,0
"7869","H",300.4,311.9,1438,46.7,41,0
"7870","M",300.5,312,1779,27.7,46,0
"7871","M",300.6,312.1,1293,52.3,49,0
"7872","L",300.6,312.2,1308,54.7,52,0
"7873","L",300.6,312.3,1532,37.2,54,0
"7874","L",300.7,312.4,1470,38.6,56,0
"7875","L",300.7,312.3,1548,37.9,58,0
"7876","L",300.7,312.3,1898,24,60,0
"7877","H",300.7,312.2,1335,49,62,0
"7878","L",300.7,312.3,1420,53.8,67,0
"7879","L",300.7,312.3,1418,49,69,0
"7880","M",300.8,312.3,1535,40.3,71,0
"7881","H",300.7,312.4,1457,47.2,74,0
"7882","L",300.8,312.4,1493,39.1,79,0
"7883","H",300.7,312.3,1670,27.3,81,0
"7884","H",300.7,312.3,1446,45.4,86,0
"7885","L",300.8,312.4,1465,59.1,91,1
"7886","L",300.7,312.3,1590,36.3,93,0
"7887","M",300.6,312.2,2174,18.5,95,0
"7888","L",300.7,312.4,1590,37.9,98,0
"7889","L",300.7,312.3,1577,33.2,100,0
"7890","M",300.7,312.4,1371,61.7,102,0
"7891","L",300.8,312.4,1767,25.6,105,0
"7892","L",300.8,312.5,1517,39.2,107,0
"7893","M",300.9,312.6,1555,40.6,109,0
"7894","L",300.9,312.7,1416,43.8,112,0
"7895","M",300.8,312.6,1588,35.6,114,0
"7896","L",300.8,312.6,1422,50,117,0
"7897","L",300.8,312.6,1376,53.6,119,0
"7898","L",300.8,312.5,1434,50.7,121,0
"7899","L",300.8,312.5,1423,47.3,123,0
"7900","L",300.9,312.4,1364,52.5,125,0
"7901","L",300.8,312.4,1825,23.8,127,0
"7902","L",300.8,312.4,1365,44.5,129,0
"7903","M",300.7,312.3,1430,47.2,131,0
"7904","L",300.8,312.3,1435,44.8,134,0
"7905","M",300.8,312.4,1811,25.1,136,0
"7906","M",300.8,312.4,1465,43.7,139,0
"7907","L",300.9,312.4,1372,51,142,0
"7908","L",300.8,312.3,1858,26.3,144,0
"7909","L",300.7,312.3,1715,26.8,146,0
"7910","L",300.7,312.2,1590,38.5,148,0
"7911","M",300.8,312.2,1664,25.7,150,0
"7912","L",300.7,312.1,1512,36.9,153,0
"7913","L",300.7,312.1,1498,44,155,0
"7914","L",300.7,312.1,1395,41.9,157,0
"7915","H",300.7,312.1,1490,43.1,159,0
"7916","H",300.8,312.1,1527,35.1,164,0
"7917","L",300.8,312.1,1512,37.1,169,0
"7918","L",300.9,312.1,1474,42.4,171,0
"7919","L",300.8,312.1,1505,41.3,173,0
"7920","L",300.8,312,1496,40,175,0
"7921","L",300.8,312,1382,49.3,177,0
"7922","L",300.7,311.9,1419,47.7,179,0
"7923","L",300.7,311.9,1462,39.7,181,0
"7924","M",300.8,312,1450,45,183,0
"7925","H",300.7,311.9,1389,46.5,186,0
"7926","M",300.7,311.9,1697,28.2,191,0
"7927","L",300.7,311.9,1335,57.1,194,1
"7928","L",300.7,311.9,1476,42,196,0
"7929","L",300.6,311.7,1497,43.6,198,0
"7930","M",300.6,311.6,1669,29.2,200,0
"7931","L",300.6,311.6,1455,48,203,0
"7932","L",300.7,311.7,1499,38.4,205,0
"7933","L",300.7,311.8,1478,41.9,207,0
"7934","L",300.8,311.8,1928,21.8,209,0
"7935","M",300.8,311.9,1621,28.3,211,0
"7936","M",300.8,311.9,1356,44.3,214,0
"7937","L",300.8,311.7,1490,46.4,217,0
"7938","L",300.8,311.7,1578,31.4,219,0
"7939","L",300.8,311.7,1681,31.3,221,0
"7940","L",300.8,311.8,1417,43.4,223,0
"7941","M",300.7,311.7,1532,40,0,0
"7942","M",300.7,311.7,1499,38.9,3,0
"7943","L",300.8,311.7,1432,45.8,6,0
"7944","L",300.8,311.7,1753,29,8,0
"7945","L",300.8,311.7,1414,49,10,0
"7946","L",300.8,311.7,1655,32.2,12,0
"7947","L",300.8,311.6,1516,35.6,14,0
"7948","L",300.8,311.7,1426,45.5,16,0
"7949","L",300.8,311.7,1479,39.4,18,0
"7950","M",300.7,311.5,1569,36.4,20,0
"7951","L",300.8,311.6,1568,36,23,0
"7952","M",300.9,311.8,1843,24.5,25,0
"7953","M",300.9,311.9,1480,40.9,28,0
"7954","L",301,312,1447,36.8,31,0
"7955","L",301,311.9,1454,41.9,33,0
"7956","M",300.9,311.9,1310,56.1,35,0
"7957","H",300.9,311.9,1513,38,38,0
"7958","H",300.9,311.9,2140,16.5,43,0
"7959","L",301,312.1,1377,49.9,48,0
"7960","L",301,312.1,1585,32.3,50,0
"7961","H",301.1,312.2,1491,42.6,52,0
"7962","L",301,312.2,1264,59,57,0
"7963","L",301,312.2,1372,47,59,0
"7964","L",301,312.2,1510,39.9,61,0
"7965","L",300.9,312.1,1423,40.2,63,0
"7966","L",301.1,312.3,1464,35.3,65,0
"7967","L",301,312.2,1602,35.9,67,0
"7968","M",301,312.2,1629,32.6,69,0
"7969","L",300.9,312.2,1811,23.2,72,0
"7970","L",300.9,312.1,1711,28.8,74,0
"7971","M",300.9,312.1,1297,48.6,76,0
"7972","L",301,312.1,1405,46.1,79,0
"7973","L",301.1,312.2,1397,54.9,81,0
"7974","L",301.1,312.3,1682,29.7,83,0
"7975","L",301.2,312.3,1528,38.4,85,0
"7976","M",301.2,312.3,1548,38.3,87,0
"7977","H",301.2,312.4,1395,47.8,90,0
"7978","L",301.2,312.4,1378,59,95,0
"7979","L",301.2,312.4,1480,53.5,97,0
"7980","M",301.2,312.4,1428,36.6,99,0
"7981","M",301.2,312.4,1505,39.6,102,0
"7982","L",301,312.3,1445,36.4,105,0
"7983","L",301,312.3,1488,42.6,107,0
"7984","L",301,312.2,1601,33,109,0
"7985","L",301,312.3,1550,34.9,111,0
"7986","L",301,312.2,1540,34.1,113,0
"7987","L",301.1,312.3,1587,34.5,115,0
"7988","H",301,312.2,1489,40.3,117,0
"7989","L",301.1,312.3,1486,34.9,122,0
"7990","L",301.1,312.4,1430,37.9,124,0
"7991","M",301.1,312.4,1809,25.1,126,0
"7992","L",301.1,312.3,1534,39,129,0
"7993","M",301.1,312.3,1852,25.9,131,0
"7994","L",301.1,312.3,1595,31.9,134,0
"7995","L",301,312.3,1424,43.5,136,0
"7996","L",301,312.2,1776,28.8,138,0
"7997","M",301,312.2,1499,41.5,140,0
"7998","M",301,312.2,2710,9.7,143,1
"7999","L",300.9,312.1,1359,51.7,146,0
"8000","M",300.9,312.1,1617,31,148,0
"8001","M",300.8,312,1443,53.3,151,0
"8002","L",300.8,312,1374,50.2,154,0
"8003","M",300.9,312.1,1851,23,156,0
"8004","M",300.8,312,1274,67.3,159,0
"8005","L",300.9,312,1533,44,162,0
"8006","L",300.8,312,1477,37.3,164,0
"8007","L",300.9,312.1,1462,46,166,0
"8008","M",301,312.1,1664,28.4,168,0
"8009","L",300.8,311.9,1414,41.1,171,0
"8010","H",300.9,312,2129,17.8,173,0
"8011","L",300.8,311.8,1323,61.1,178,0
"8012","L",300.8,311.8,1427,43.3,180,0
"8013","M",300.9,312,1375,56.1,182,0
"8014","M",300.9,312,1402,50.7,185,0
"8015","L",300.9,312,1500,44.2,188,0
"8016","M",301,312,1558,37.5,190,0
"8017","M",300.9,312,1447,41.4,193,0
"8018","L",301,312,1518,39.3,196,0
"8019","L",301,311.9,1889,23.5,198,0
"8020","L",301,312.1,1675,30.7,200,0
"8021","H",300.9,312,1720,27.9,202,0
"8022","M",301,312,1499,34.6,207,0
"8023","L",300.9,312,1441,43.8,210,0
"8024","H",300.9,312,1397,42.7,212,0
"8025","L",300.9,312,1493,38.7,217,0
"8026","M",300.8,312,1422,50.7,219,0
"8027","L",300.7,311.9,1399,50.2,222,1
"8028","L",300.6,311.9,1425,44.9,224,0
"8029","L",300.6,311.8,1501,44.8,226,0
"8030","M",300.6,311.9,1629,35.3,0,0
"8031","L",300.6,312,1490,42.2,3,0
"8032","L",300.7,312,1550,32.4,5,0
"8033","L",300.8,312,1416,46.5,7,0
"8034","L",300.7,311.9,1485,38.8,9,0
"8035","L",300.7,311.8,1564,36.8,11,0
"8036","L",300.7,311.7,1910,19.7,13,0
"8037","L",300.7,311.7,1460,46.1,15,0
